day	p.value	method	C	M1	1RM1	M1-C	1RM1-C	1RM1-M1
-1	0.0027640852000168077	Kruskal-Wallis rank sum test	-0.4499999999999993	0.5	-1.25	0.07712763781563145	0.024183623014950542	0.014994374295247383
0	0.008376292402331276	Kruskal-Wallis rank sum test	-0.5	0.09999999999999787	-1.4000000000000004	0.12686934931105506	0.0976214379866874	0.01889985323116896
1	0.021448399255889233	Kruskal-Wallis rank sum test	-0.29999999999999893	0.3500000000000014	-1.25	0.24025974025974026	0.1396103896103896	0.025974025974025976
2	0.035086166356021735	Kruskal-Wallis rank sum test	-0.6499999999999986	0.5999999999999996	-0.45000000000000107	0.061688311688311695	0.6991341991341992	0.061688311688311695
5	0.010483307858980046	Kruskal-Wallis rank sum test	-0.24999999999999822	1.200000000000001	-0.40000000000000036	0.024183623014950542	0.748348568843747	0.024183623014950542
7	0.01528209871986153	Kruskal-Wallis rank sum test	-0.1999999999999975	0.9500000000000011	-0.9500000000000011	0.03896103896103896	0.29625806135889915	0.03896103896103896
4	0.03851444858912766	Kruskal-Wallis rank sum test	-0.34999999999999964	1.3000000000000007	-0.15000000000000036	0.0674268640536741	0.6303555263618644	0.0674268640536741
3	0.010205838488296072	Kruskal-Wallis rank sum test	-1.4499999999999975	1.0000000000000018	-0.25	0.022727272727272728	0.48484848484848486	0.012987012987012988
6	0.019453305164628336	Kruskal-Wallis rank sum test	-0.14999999999999858	1.0999999999999996	-0.5	0.061688311688311695	0.47039300443864773	0.038719711258960315
8	0.005190847373458461	Kruskal-Wallis rank sum test	-0.24999999999999822	0.9500000000000011	-0.8499999999999996	0.022727272727272728	0.2606581238113129	0.014994374295247383
9	0.012591911490379673	Kruskal-Wallis rank sum test	-0.4499999999999993	1	NA	0.015751642821067616	NA	NA
10	0.016309171877755033	Kruskal-Wallis rank sum test	-0.8499999999999979	0.8499999999999996	NA	0.015151515151515152	NA	NA
