otu	method	WM	C	WMR	CWM	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	WMN-WM	WMN-WMR	WMN-CWM	WMN-C
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0.009000000000000001	0	0	0.049	0	0.024520786118274646	0.03800728305475912	0.3458634366683197	0.2943651618187655	0.033459525548688876	0.07159979280208774	0.033459525548688876	0.45325470475373647	0.055310116049749995	NA
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.0025	0.019000000000000003	0	0	0.012	0.07275716074426239	0.11938880627621473	0.037177250609654315	0.18438943587449602	0.03600915066787423	0.5402913746074198	0.2629400788247188	0.04839866831842092	0.037177250609654315	0.2629400788247188
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0	0.008	0	0	0.007	0.01816398043582231	0.6078277964333473	0.02170730911948242	0.5202729796207964	0.01816398043582231	NA	0.02170730911948242	0.031605855201567994	0.01816398043582231	0.6650055421020291
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0	0.0055	0	0	0	0.027784301100990325	0.4391916656105647	0.04353948400243152	0.3514686712884503	0.06942090871834064	0.8801637686621082	0.4391916656105647	1	0.8801637686621082	0.04353948400243152
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0	0.037000000000000005	0	0	0	0.015179196502606783	NA	0.01998013760384553	0.24602806990191517	0.015179196502606783	0.2868686513253684	NA	NA	0.2868686513253684	0.01998013760384553
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0	0.0175	0	0	0	0.01260320273375598	NA	0.019518056570068512	0.5402913746074198	0.01260320273375598	0.5402913746074198	NA	NA	0.5402913746074198	0.019518056570068512
Lachnospiraceae (OTU 47)	Kruskal-Wallis rank sum test	0.0015	0.009	0	0	0.008	0.12546031985351613	0.21033179337666502	0.037177250609654315	0.31026634873740455	0.03600915066787423	0.6003237495637999	0.1722250933423674	0.05052001059847321	0.037177250609654315	0.7461277785037574
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	0	0.0075	0	5e-4	0	0.019449010770693227	NA	0.0212215848103397	0.10361395798072862	0.0212215848103397	0.14910121665165138	NA	NA	0.14910121665165138	0.0212215848103397
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0	0.0035	0	0	0.001	0.009535861268217918	NA	0.02602407542675802	NA	0.009535861268217918	NA	0.10753982434770917	0.18135827590431333	0.10753982434770917	0.10753982434770917
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0	0.006	0	0	0	0.01800559904817334	NA	0.028450951647388447	NA	0.01800559904817334	NA	NA	NA	NA	0.028450951647388447
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	5e-4	0.0015	0	0	0	0.32364245440154576	0.17395141942692663	0.023628592909418194	0.12951744747591076	0.01760735740259228	NA	0.17395141942692663	NA	NA	0.023628592909418194
Lachnospiraceae (OTU 112)	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.0511382613428032	NA	0.0511382613428032	0.5402913746074198	0.0511382613428032	0.5402913746074198	NA	NA	0.5402913746074198	0.0511382613428032
Lachnospiraceae (OTU 133)	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0.032583971747641376	0.3586731935819612	0.1032690921348739	NA	0.032583971747641376	0.3586731935819612	NA	0.45325470475373647	NA	0.06902582410006497
