day	p.value	method	C	CWM	RM	FRM	CWM-C	RM-C	FRM-C	RM-CWM	FRM-CWM	FRM-RM
1	0.0037238253828254433	Kruskal-Wallis rank sum test	54500000	17816666.666666664	56800000	186000000	0.060540913663701734	0.8873859348351204	0.019935791683896517	0.09382491347032539	0.019935791683896517	0.019935791683896517
2	0.0023596370685268664	Kruskal-Wallis rank sum test	12900000	162000000	37816666.66666667	43050000	0.0017726787951582675	0.1362027930341297	0.1362027930341297	0.05576966220390639	0.1362027930341297	0.8200818789054083
3	0.019271866120484555	Kruskal-Wallis rank sum test	1286666.666666665	35500000	1920000	711666.6666666665	0.0469214773187039	0.37966271176662886	0.45346217410453693	0.13849299554126518	0.1171406880488915	0.37966271176662886
4	3.768245159379055e-6	Kruskal-Wallis rank sum test	227500	34800000	10000	67733.33333333333	3.7737059752367884e-5	0.0018948937380832644	0.12131868131868132	7.048655692193382e-4	0.015789473684210527	0.2664198746447551
5	1.0025134992599426e-5	Kruskal-Wallis rank sum test	7833.333333333335	8340000	33900000	11000000	1.3527071050940696e-5	1.3527071050940696e-5	2.1547080370609782e-4	0.08816778423974825	0.49420487978840383	0.34893341952165485
6	5.365434826029464e-7	Kruskal-Wallis rank sum test	1000	2098333.3333333335	20855000	36050000	1.0827080298887807e-4	1.0827080298887807e-4	0.0016834876700791935	0.005149416038076971	0.0020060031501679104	0.6164619694031459
8	7.244682021158123e-6	Kruskal-Wallis rank sum test	0	5530000	660000	520000	4.257418766673792e-5	4.257418766673792e-5	3.082678472435041e-4	0.09740725935470666	0.8147774199066066	0.8147774199066066
9	6.323455489118001e-6	Kruskal-Wallis rank sum test	0	4865000	698833.333333335	91500	3.0806746845463555e-5	3.0806746845463555e-5	9.422327709905179e-4	0.09827709226220507	0.17075180200805254	0.7502693385046326
10	6.458698840881433e-5	Kruskal-Wallis rank sum test	0	4260000	77133.33333333334	7033.33333333335	3.0799972782107884e-4	3.75926183651793e-4	0.005022060233756589	0.04821695092180466	0.13871731790781955	0.8139261697348091
15	2.73463284336887e-5	Kruskal-Wallis rank sum test	0	5600000	0	0	0.0014365891812797725	0.2077807389104424	NA	0.004849189526396065	0.011591614592590112	0.3455570234313006
